tech_broadband_reference_year,tech_broadband_country_iso2,tech_broadband_region_nuts_code,tech_broadband_technology_type_code,tech_broadband_households_covered_pct,tech_broadband_households_subscribed_pct,tech_broadband_download_speed_mbps_median,tech_broadband_upload_speed_mbps_median,tech_broadband_latency_ms_median,tech_broadband_5g_coverage_pct,tech_broadband_fiber_coverage_pct,tech_broadband_rural_coverage_gap_pp,tech_broadband_affordability_index,tech_broadband_price_eur_per_month_median,tech_broadband_outage_minutes_avg,tech_broadband_net_neutrality_complaints_count,tech_broadband_public_subsidy_program_code,tech_broadband_infrastructure_investment_eur,tech_broadband_desi_component_score,tech_broadband_data_extract_date
2014,AT,LT6,DSL,49.78,32.21,43.3,11.69,54.72,66.36,44.11,20.39,62.93,45.8,195.07,0,CEF2_DIGITAL,68191548.86,56.11,2025-11-02
2015,CZ,CZ873,DSL,40.96,20.36,51.21,5.01,26.66,44.97,43.19,39.69,47.75,72.44,123.67,6,NONE,219738256.9,39.65,2025-03-22
2016,DE,PL41,DSL,83.72,55.72,14.38,13.68,42.12,71.55,44.96,36.94,66.13,43.81,11.2,9,STATE_AID_GBER,204193274.22,41.82,2025-06-09
2017,LV,DK8,DSL,61.92,39.33,46.8,8.86,44.13,76.98,63.4,48.81,83.12,51.0,88.44,63,NATIONAL_RURAL_FIBER,399137327.67,51.49,2024-09-17
2018,PL,AT305,DSL,64.28,38.74,22.09,1.6,30.79,56.42,21.19,13.35,43.7,69.06,114.33,16,ERDF_CONNECT,94888184.46,28.86,2025-12-27
2019,ES,BE44,DSL,63.65,27.88,24.96,13.97,34.67,41.6,55.1,18.67,50.8,25.31,387.38,13,RRF_BROADBAND,106653341.93,75.89,2024-09-06
2020,HR,GR5,DSL,43.93,39.96,11.15,13.12,45.2,12.53,7.81,33.98,61.28,18.32,174.47,38,CEF2_DIGITAL,250350570.45,48.78,2024-11-07
2021,FI,IE18,DSL,64.13,27.73,21.68,8.73,46.65,72.58,20.03,14.77,74.85,66.79,384.84,8,NONE,82830357.84,77.84,2025-11-21
2022,IE,MT888,DSL,78.68,58.77,23.23,1.52,19.78,59.05,60.92,12.49,63.95,69.88,132.08,14,STATE_AID_GBER,24384640.85,35.47,2025-07-08
2023,MT,LU83,DSL,83.77,38.02,54.85,6.39,38.27,78.02,42.65,48.81,89.26,18.14,310.97,12,NATIONAL_RURAL_FIBER,52763745.73,74.5,2024-07-18
2024,SK,NL27,DSL,46.45,41.57,46.27,4.26,41.13,93.24,8.79,50.61,81.1,20.46,101.0,12,ERDF_CONNECT,124840517.56,56.13,2025-05-25
2025,BE,CZ9,DSL,44.37,17.55,26.87,11.85,40.3,36.33,68.03,37.18,74.29,34.59,252.66,69,RRF_BROADBAND,306139750.83,46.47,2024-07-02
2026,DK,BE335,DSL,78.19,66.86,33.29,4.14,20.48,34.06,48.02,51.27,78.78,54.44,221.14,35,CEF2_DIGITAL,326436000.12,39.52,2026-01-18
2014,GR,ES100,DSL,74.62,43.01,15.6,1.69,52.69,26.58,9.54,23.56,54.33,61.19,188.74,22,NONE,51858262.28,72.88,2025-01-26
2015,LT,AT1,DSL,76.08,34.63,39.24,12.41,53.32,97.95,60.76,7.74,79.92,61.07,217.4,21,STATE_AID_GBER,129013092.32,39.99,2024-05-20
2016,PT,MT9,DSL,63.59,46.54,26.11,4.36,50.49,88.11,65.86,40.4,74.61,62.62,64.43,16,NATIONAL_RURAL_FIBER,262758522.8,36.59,2025-12-19
2017,SE,CY379,DSL,68.34,32.36,49.78,10.54,44.89,96.11,40.61,25.95,61.94,58.69,411.11,18,ERDF_CONNECT,91841742.37,21.43,2024-02-28
2018,CY,PT19,DSL,54.06,19.8,48.21,3.34,23.09,48.75,18.44,30.52,64.32,54.19,68.4,17,RRF_BROADBAND,129291992.67,66.82,2025-08-12
2019,FR,ES5,DSL,52.39,32.16,49.41,2.68,20.01,59.75,33.57,52.1,61.72,42.44,363.63,25,CEF2_DIGITAL,327682972.26,32.25,2024-06-29
2020,IT,RO848,DSL,44.59,18.94,37.33,3.95,36.9,73.82,7.65,42.22,44.48,42.83,327.64,23,NONE,210699129.78,38.75,2024-01-15
2021,NL,BG645,DSL,82.01,64.47,24.37,8.91,36.95,47.42,12.17,51.33,84.85,21.0,417.52,64,STATE_AID_GBER,30364729.02,40.49,2024-07-27
2022,SI,CZ316,DSL,54.4,28.37,45.4,7.01,29.35,72.09,28.08,18.7,47.35,77.39,273.36,24,NATIONAL_RURAL_FIBER,127726982.89,25.82,2024-12-01
2023,BG,LV22,DSL,44.06,37.67,37.76,4.77,31.94,46.95,56.67,53.44,75.75,59.74,240.32,29,ERDF_CONNECT,132615312.18,66.59,2024-12-28
2024,EE,LU670,DSL,48.64,30.31,17.7,12.84,54.25,15.31,10.98,45.98,90.45,29.56,130.49,28,RRF_BROADBAND,219072627.13,83.19,2025-01-17
2025,HU,LT8,DSL,77.85,64.85,18.15,6.71,30.21,40.9,64.0,22.76,97.05,44.78,301.91,25,CEF2_DIGITAL,393694156.51,48.59,2024-08-23
2026,LU,HR957,DSL,46.84,42.43,27.49,4.14,37.33,59.7,72.82,43.62,73.84,39.09,356.29,47,NONE,302349719.82,64.45,2024-08-22
2014,RO,SE1,DSL,76.13,62.98,44.99,14.21,49.11,35.43,42.61,7.78,63.22,78.68,44.52,36,STATE_AID_GBER,91691494.88,44.01,2024-04-19
2015,AT,RO668,DSL,36.39,19.8,51.32,14.08,54.47,72.74,35.55,48.58,66.7,74.57,303.27,36,NATIONAL_RURAL_FIBER,195307299.58,22.9,2025-07-10
2016,CZ,HU588,DSL,58.33,48.16,28.41,11.4,39.99,70.46,67.75,54.72,80.64,51.03,250.54,77,ERDF_CONNECT,35131166.42,50.75,2024-02-11
2017,DE,MT950,DSL,68.56,45.74,36.95,12.17,34.63,16.85,64.83,27.73,81.31,73.47,387.91,67,RRF_BROADBAND,80746753.98,72.26,2024-07-22
2018,LV,RO240,DSL,72.28,27.6,37.67,13.78,29.46,28.64,21.31,17.93,45.11,55.15,310.1,33,CEF2_DIGITAL,87110126.04,66.58,2025-06-13
2019,PL,PT819,DSL,42.21,18.16,12.66,8.46,40.8,37.98,45.67,52.11,65.96,51.43,289.81,36,NONE,200468658.16,83.83,2024-11-19
2020,ES,BE648,DSL,53.47,24.91,25.96,13.33,40.37,33.48,43.04,6.34,87.62,84.84,366.79,42,STATE_AID_GBER,414277237.54,62.76,2024-10-22
2021,HR,HU43,DSL,83.52,59.55,15.8,10.78,25.87,80.77,40.18,53.61,57.09,56.01,243.69,38,NATIONAL_RURAL_FIBER,111267672.7,25.25,2024-09-21
