trans_port_arrival_date,trans_port_port_un_locode,trans_port_vessel_imo_hash,trans_port_vessel_type_code,trans_port_cargo_category_code,trans_port_container_teu_count,trans_port_cargo_tonnage_metric,trans_port_origin_country_code,trans_port_destination_country_code,trans_port_berth_assignment_id,trans_port_berth_time_hours,trans_port_dwell_time_hours,trans_port_customs_hold_flag,trans_port_rail_intermodal_flag,trans_port_truck_gate_turn_time_minutes,trans_port_emissions_at_berth_kg,trans_port_harbor_congestion_index,trans_port_pilotage_required_flag,trans_port_weather_delay_flag,trans_port_security_level_code
2017-01-01,USOAK,IMO000000001,TANKER,ENERGY,3296,346908.83,IN,US,BERTH0000001,39.73,89.86,0,0,116.17,2338.68,0.1817,1,0,LEVEL_1
2017-01-02,USMIA,IMO000000002,RORO,OTHER,16552,240082.38,CN,US,BERTH0000002,63.53,72.86,0,0,131.91,70361.65,0.3018,0,0,LEVEL_1
2017-01-03,USHOU,IMO000000003,RORO,CONSUMER_GOODS,2048,173110.2,MX,US,BERTH0000003,75.84,3.2,0,0,16.48,23787.07,0.3651,1,0,LEVEL_1
2017-01-04,USMIA,IMO000000004,CONTAINER,CONSUMER_GOODS,5673,337017.53,VN,US,BERTH0000004,12.17,60.82,0,0,64.95,33193.44,0.1164,1,0,LEVEL_1
2017-01-05,USSEA,IMO000000005,CONTAINER,OTHER,9815,1323.05,BR,US,BERTH0000005,49.6,134.07,0,0,74.33,44299.1,0.868,0,0,LEVEL_1
2017-01-06,USOAK,IMO000000006,CONTAINER,OTHER,1874,202314.05,SG,CA,BERTH0000006,16.97,137.87,0,1,78.99,45668.06,0.4911,1,0,LEVEL_1
2017-01-07,USOAK,IMO000000007,CONTAINER,AGRI_FOOD,2233,147270.55,BR,US,BERTH0000007,61.61,182.65,0,0,153.42,53426.51,0.3402,0,0,LEVEL_3
2017-01-08,USTAC,IMO000000008,CONTAINER,INDUSTRIAL,2305,272328.46,SG,US,BERTH0000008,4.18,198.05,0,1,85.87,18924.97,0.126,1,0,LEVEL_2
2017-01-09,USLAX,IMO000000009,BULK,AUTOMOTIVE,10118,128414.13,MX,US,BERTH0000009,51.69,167.59,0,0,160.33,77197.32,0.1631,0,0,LEVEL_2
2017-01-10,USMIA,IMO000000010,CONTAINER,AUTOMOTIVE,18828,51201.81,SG,CA,BERTH0000010,3.54,20.95,0,0,19.7,2784.84,0.7973,1,0,LEVEL_3
2017-01-11,USTAC,IMO000000011,CONTAINER,OTHER,2469,325048.64,MX,CA,BERTH0000011,11.15,137.7,0,0,71.39,15044.35,0.174,0,0,LEVEL_1
