civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000000001,2007,18,STATE_HOUSE,870450,-1.502,665555,629334,15.94,0.1879,0.3297,1,12,59,0,0.9397,-2.864,49.62,15683,0
PLAN000000002,2010,34,STATE_SENATE,829373,5.802,627634,549483,37.57,0.4054,0.0637,1,9,77,0,0.1086,-13.399,98.66,7752,0
PLAN000000003,2012,56,CONGRESSIONAL,509872,6.96,350857,315888,62.33,0.4249,0.6844,1,18,68,0,0.3981,-16.279,21.44,12288,0
PLAN000000004,2003,53,STATE_SENATE,218910,4.318,173185,163687,94.52,0.4425,0.5069,1,12,57,0,0.1229,9.855,6.5,14509,0
PLAN000000005,2000,19,SCHOOL,805487,2.07,562870,474666,91.62,0.1986,0.3747,1,1,53,0,0.969,-14.029,67.82,1274,0
PLAN000000006,2019,45,SCHOOL,754700,1.214,553354,492349,52.63,0.1491,0.6918,1,20,27,1,0.2322,13.447,78.44,984,0
PLAN000000007,1990,15,JUDICIAL,73001,5.458,53461,43143,92.89,0.025,0.4851,1,17,57,0,0.7177,30.873,23.15,9055,0
PLAN000000008,2002,55,STATE_SENATE,598880,-5.913,489858,406991,18.65,0.707,0.8405,1,1,52,0,0.1777,6.418,65.99,21554,0
PLAN000000009,2023,4,STATE_SENATE,900532,0.664,631291,554198,74.65,0.1054,0.2938,1,17,54,0,0.015,33.514,94.74,1756,0
PLAN000000010,2017,33,CONGRESSIONAL,39570,-6.737,30270,23920,82.74,0.2765,0.1659,1,0,75,0,0.54,27.457,37.35,1533,1
PLAN000000011,2016,20,STATE_HOUSE,132042,-7.454,93038,84495,23.9,0.2871,0.0852,1,18,45,0,0.7603,-2.72,49.11,9287,0
PLAN000000012,1998,50,STATE_SENATE,900588,-3.671,710631,632147,67.01,0.2925,0.379,1,1,62,0,0.6197,-7.25,53.31,3372,0
PLAN000000013,2015,10,JUDICIAL,33760,7.943,23546,21713,86.91,0.1455,0.3974,1,8,77,1,0.9729,-18.803,20.69,222,0
PLAN000000014,1990,28,STATE_HOUSE,172071,6.103,123724,96825,35.11,0.3514,0.2001,1,12,22,0,0.983,-15.037,31.25,6637,0
PLAN000000015,2017,60,SCHOOL,664254,5.245,525785,450725,18.47,0.3196,0.5926,1,6,21,1,0.2743,10.191,76.62,20600,0
PLAN000000016,2010,15,JUDICIAL,348864,1.92,279129,236702,40.57,0.2587,0.2853,0,7,25,0,0.0108,-32.405,60.0,6084,0
PLAN000000017,2007,55,CONGRESSIONAL,802162,6.61,604306,539770,63.59,0.4773,0.2345,0,9,20,1,0.1904,30.905,95.29,8856,0
PLAN000000018,2020,20,CONGRESSIONAL,917777,1.631,630587,580763,50.91,0.7985,0.6558,1,7,5,0,0.8571,7.992,16.83,18089,0
PLAN000000019,2023,40,STATE_HOUSE,107571,-6.669,83702,78305,67.06,0.2467,0.2834,1,8,79,0,0.3115,-31.832,83.87,2141,1
PLAN000000020,2002,9,STATE_SENATE,851082,-6.512,683685,581392,19.87,0.4434,0.1288,1,11,56,1,0.96,-38.796,66.85,13741,0
PLAN000000021,2001,25,STATE_HOUSE,939629,-7.542,694841,602768,83.29,0.0725,0.2829,1,16,78,0,0.8881,28.059,55.85,8317,0
PLAN000000022,2008,48,JUDICIAL,42331,-3.409,33978,29354,47.5,0.1647,0.0396,1,11,30,0,0.6407,-12.448,1.16,14770,0
PLAN000000023,2017,49,STATE_SENATE,81182,-4.301,61690,49485,45.68,0.4344,0.8455,1,19,53,1,0.5669,26.254,12.29,11912,0
PLAN000000024,2009,27,STATE_SENATE,302105,2.161,209040,184943,52.15,0.3011,0.4031,1,7,12,0,0.8678,-35.048,94.0,16331,0
PLAN000000025,2008,1,STATE_SENATE,199166,-5.057,136713,131060,93.99,0.109,0.1567,1,0,16,1,0.4261,36.315,71.71,2829,1
PLAN000000026,2014,25,SCHOOL,793548,-2.47,572053,483960,30.5,0.7576,0.2537,1,17,21,0,0.4329,2.309,12.95,7245,0
PLAN000000027,2016,51,JUDICIAL,58865,7.747,43751,36799,68.65,0.5831,0.6014,1,4,38,1,0.8737,-35.07,39.66,1476,0
PLAN000000028,2019,3,SCHOOL,561447,-0.847,418725,350019,70.73,0.4115,0.6065,1,8,7,0,0.8632,35.487,56.2,7873,0
PLAN000000029,2009,53,STATE_HOUSE,470510,7.393,336006,272817,64.39,0.3385,0.7284,1,19,24,0,0.6728,12.182,43.92,23860,0
PLAN000000030,1990,49,SCHOOL,320739,7.62,258529,203551,32.62,0.1399,0.4197,1,1,36,0,0.5272,-25.132,94.14,8790,0
