gov_fedspend_obligation_date,gov_fedspend_program_cfda_number,gov_fedspend_awarding_agency_code,gov_fedspend_funding_subagency_code,gov_fedspend_recipient_uei_hash,gov_fedspend_recipient_type_code,gov_fedspend_award_amount_usd,gov_fedspend_award_type_code,gov_fedspend_assistance_listing_title,gov_fedspend_place_of_performance_geoid,gov_fedspend_primary_purpose_code,gov_fedspend_covid_relief_flag,gov_fedspend_infrastructure_act_flag,gov_fedspend_competition_indicator,gov_fedspend_matching_requirement_flag,gov_fedspend_period_of_performance_days,gov_fedspend_outlay_estimate_usd,gov_fedspend_deobligation_amount_usd,gov_fedspend_reporting_period_quarter,gov_fedspend_data_source_system
2015-01-01,65.483,AG08,SUBF,UEI000000000001,LOCAL_GOV,200275300.09,LOAN,WORKFORCE_TRAINING,4973490259,SAFETY,0,0,LIMITED,1,3141,179096550.65,16873710.14,Q2,SYSTEM_B
2015-01-02,13.025,AG01,SUBC,UEI000000000002,FOR_PROFIT,238555545.81,GRANT,ED_INNOVATION,3453202800,OTHER,0,0,FULL_AND_OPEN,0,1938,132215626.16,14848427.11,Q3,SYSTEM_D
2015-01-03,16.130,AG06,SUBF,UEI000000000003,UNIVERSITY,177102401.44,LOAN,BROADBAND_ACCESS,6021312545,SCI_TECH,0,1,FORMULA,1,3163,137723486.24,9135134.93,Q4,SYSTEM_D
2015-01-04,17.711,AG03,SUBE,UEI000000000004,STATE_GOV,106230140.63,OTHER,RESEARCH_INFRASTRUCTURE,4134845312,ENERGY,1,0,FORMULA,0,1222,104564024.72,6760.07,Q1,SYSTEM_A
2015-01-05,96.468,AG04,SUBD,UEI000000000005,FOR_PROFIT,78758144.84,OTHER,ED_INNOVATION,1129628766,EDU,0,0,LIMITED,0,732,70856015.5,4737891.72,Q3,SYSTEM_C
2015-01-06,62.983,AG07,SUBC,UEI000000000006,LOCAL_GOV,212639591.68,GRANT,BROADBAND_ACCESS,4845747720,HOUSING,0,0,FULL_AND_OPEN,1,992,206339321.7,24705186.4,Q3,SYSTEM_B
2015-01-07,52.956,AG02,SUBD,UEI000000000007,STATE_GOV,21979966.39,CONTRACT,RESEARCH_INFRASTRUCTURE,1338332473,ENV,0,0,FULL_AND_OPEN,0,2810,9606451.98,642415.82,Q4,SYSTEM_B
2015-01-08,50.643,AG02,SUBC,UEI000000000008,NONPROFIT,57960690.29,LOAN,CLIMATE_RESILIENCE,4270754165,HEALTH,0,0,FULL_AND_OPEN,1,2390,59120372.1,2766779.33,Q4,SYSTEM_D
2015-01-09,54.077,AG02,SUBD,UEI000000000009,FOR_PROFIT,45315766.53,CONTRACT,DISASTER_RELIEF,6778076344,EDU,1,0,FULL_AND_OPEN,0,2368,25027765.94,2533835.9,Q1,SYSTEM_D
2015-01-10,12.523,AG03,SUBE,UEI000000000010,FOR_PROFIT,171946941.69,CONTRACT,DISASTER_RELIEF,9100065176,ENV,0,0,FULL_AND_OPEN,0,3255,120922872.13,14392745.76,Q1,SYSTEM_C
2015-01-11,89.935,AG02,SUBF,UEI000000000011,FOR_PROFIT,25862313.66,CONTRACT,WORKFORCE_TRAINING,4209036999,SCI_TECH,0,0,FORMULA,0,188,12600602.44,1941046.47,Q4,SYSTEM_A
2015-01-12,26.189,AG01,SUBE,UEI000000000012,NONPROFIT,8381648.94,CONTRACT,SMALL_BUSINESS_SUPPORT,5368600470,SCI_TECH,0,0,FULL_AND_OPEN,0,823,3811117.31,381049.25,Q2,SYSTEM_A
2015-01-13,19.870,AG03,SUBB,UEI000000000013,FOR_PROFIT,163909300.4,GRANT,SMALL_BUSINESS_SUPPORT,8373557174,SCI_TECH,0,0,FORMULA,0,1154,122111109.34,17525040.19,Q2,SYSTEM_B
2015-01-14,96.572,AG08,SUBC,UEI000000000014,LOCAL_GOV,65043343.47,GRANT,BROADBAND_ACCESS,9233286123,OTHER,0,0,FORMULA,0,3588,40977874.91,4687934.23,Q2,SYSTEM_C
2015-01-15,18.176,AG03,SUBC,UEI000000000015,UNIVERSITY,59403140.79,GRANT,HOUSING_SUPPORT,5502303108,SCI_TECH,0,1,LIMITED,0,3028,34772005.93,4668089.42,Q1,SYSTEM_A
2015-01-16,56.183,AG03,SUBF,UEI000000000016,TRIBAL_GOV,87046100.71,GRANT,HOUSING_SUPPORT,6383508013,ENV,0,0,FORMULA,0,3088,76872710.76,8626990.82,Q2,SYSTEM_D
2015-01-17,07.488,AG03,SUBE,UEI000000000017,LOCAL_GOV,94519668.56,GRANT,ED_INNOVATION,8644729984,TRANSPORT,0,0,LIMITED,0,242,89067708.46,10369234.56,Q3,SYSTEM_C
2015-01-18,02.447,AG05,SUBD,UEI000000000018,FOR_PROFIT,198965527.56,GRANT,RESEARCH_INFRASTRUCTURE,6435386985,EDU,0,0,FULL_AND_OPEN,0,1757,79547443.4,4067592.36,Q3,SYSTEM_C
2015-01-19,27.372,AG02,SUBE,UEI000000000019,FOR_PROFIT,139438458.48,COOP_AGREEMENT,RESEARCH_INFRASTRUCTURE,9176755883,TRANSPORT,0,1,FULL_AND_OPEN,0,423,127458788.7,15599874.27,Q1,SYSTEM_B
2015-01-20,10.610,AG05,SUBF,UEI000000000020,UNIVERSITY,170362832.46,LOAN,HOUSING_SUPPORT,9096984855,OTHER,1,1,FULL_AND_OPEN,0,1111,115656263.88,6146388.49,Q2,SYSTEM_A
2015-01-21,39.177,AG03,SUBD,UEI000000000021,LOCAL_GOV,58232451.63,CONTRACT,BROADBAND_ACCESS,7777802958,SCI_TECH,0,0,SOLE_SOURCE,0,2451,32223554.83,3307088.15,Q1,SYSTEM_D
2015-01-22,92.186,AG08,SUBB,UEI000000000022,TRIBAL_GOV,119668392.19,LOAN,PUBLIC_SAFETY,4163308037,EDU,0,0,LIMITED,1,3607,57900078.87,6480740.22,Q2,SYSTEM_D
2015-01-23,42.349,AG07,SUBA,UEI000000000023,LOCAL_GOV,153918809.63,COOP_AGREEMENT,CLIMATE_RESILIENCE,6208817461,OTHER,0,0,FULL_AND_OPEN,0,2086,100563688.65,16816718.27,Q4,SYSTEM_C
2015-01-24,79.446,AG03,SUBF,UEI000000000024,LOCAL_GOV,129639633.63,GRANT,TRANSPORT_IMPROVEMENTS,2862618097,SAFETY,0,0,FORMULA,0,2052,91770371.36,7145606.14,Q1,SYSTEM_D
2015-01-25,79.011,AG08,SUBF,UEI000000000025,UNIVERSITY,202476522.53,COOP_AGREEMENT,BROADBAND_ACCESS,8353948310,HOUSING,1,1,FULL_AND_OPEN,0,2112,182695883.43,14177673.07,Q4,SYSTEM_A
2015-01-26,19.537,AG03,SUBF,UEI000000000026,NONPROFIT,149578613.59,LOAN,CLIMATE_RESILIENCE,9122057917,ENERGY,0,0,FULL_AND_OPEN,1,1152,70037083.26,16909931.85,Q3,SYSTEM_D
2015-01-27,33.152,AG04,SUBF,UEI000000000027,STATE_GOV,135855082.91,CONTRACT,COMMUNITY_HEALTH,8512629873,OTHER,0,0,FORMULA,1,2364,50994248.12,7125931.53,Q1,SYSTEM_A
2015-01-28,12.124,AG08,SUBB,UEI000000000028,LOCAL_GOV,132302376.54,GRANT,WORKFORCE_TRAINING,4916394730,OTHER,0,0,FORMULA,0,2686,56954296.49,11071563.31,Q2,SYSTEM_A
2015-01-29,64.458,AG03,SUBB,UEI000000000029,STATE_GOV,79872441.8,GRANT,HOUSING_SUPPORT,2859607456,TRANSPORT,0,0,FULL_AND_OPEN,0,325,56388567.26,7363014.37,Q1,SYSTEM_B
2015-01-30,13.024,AG06,SUBB,UEI000000000030,NONPROFIT,130693803.08,GRANT,DISASTER_RELIEF,9517205534,OTHER,0,0,FULL_AND_OPEN,0,3591,128973203.85,15591247.74,Q3,SYSTEM_A
2015-01-31,14.275,AG04,SUBF,UEI000000000031,FOR_PROFIT,84259100.8,GRANT,PUBLIC_SAFETY,4766238838,ENV,0,0,SOLE_SOURCE,0,540,36240254.05,6986549.4,Q1,SYSTEM_C
2015-02-01,71.383,AG05,SUBA,UEI000000000032,NONPROFIT,108990028.34,GRANT,PUBLIC_SAFETY,7116418618,SAFETY,0,0,FORMULA,1,3626,51569888.54,8849043.22,Q1,SYSTEM_C
2015-02-02,04.492,AG03,SUBE,UEI000000000033,NONPROFIT,151448132.47,GRANT,HOUSING_SUPPORT,7125411729,ECON_DEV,0,1,FORMULA,1,605,99954268.61,12172782.77,Q4,SYSTEM_B
2015-02-03,28.462,AG08,SUBB,UEI000000000034,LOCAL_GOV,127320690.32,GRANT,PUBLIC_SAFETY,1990006548,HOUSING,0,1,FORMULA,1,831,57424829.4,3138556.84,Q2,SYSTEM_A
2015-02-04,41.946,AG07,SUBD,UEI000000000035,FOR_PROFIT,240885459.56,GRANT,BROADBAND_ACCESS,9526405470,HOUSING,0,0,SOLE_SOURCE,1,1714,104776901.32,4054395.88,Q4,SYSTEM_D
2015-02-05,91.304,AG02,SUBB,UEI000000000036,LOCAL_GOV,137793077.77,GRANT,ED_INNOVATION,3077985572,TRANSPORT,0,0,LIMITED,0,2631,63965112.84,5928252.49,Q3,SYSTEM_D
2015-02-06,95.378,AG01,SUBB,UEI000000000037,LOCAL_GOV,233634200.02,COOP_AGREEMENT,CLIMATE_RESILIENCE,9972101450,TRANSPORT,0,1,FORMULA,0,2802,144549976.15,26584746.13,Q4,SYSTEM_A
2015-02-07,21.579,AG04,SUBC,UEI000000000038,NONPROFIT,149604709.8,GRANT,PUBLIC_SAFETY,2784552738,HEALTH,0,1,FULL_AND_OPEN,0,226,114293402.82,15450275.67,Q1,SYSTEM_A
2015-02-08,27.622,AG01,SUBE,UEI000000000039,LOCAL_GOV,121482099.14,OTHER,TRANSPORT_IMPROVEMENTS,4158154122,OTHER,0,0,FULL_AND_OPEN,0,280,57814634.84,12376442.76,Q3,SYSTEM_B
2015-02-09,13.084,AG02,SUBE,UEI000000000040,NONPROFIT,58475524.61,GRANT,TRANSPORT_IMPROVEMENTS,3557161994,ENERGY,0,0,FORMULA,0,2650,51311113.07,3350835.77,Q4,SYSTEM_B
2015-02-10,84.056,AG01,SUBA,UEI000000000041,TRIBAL_GOV,135682786.93,GRANT,CLIMATE_RESILIENCE,9830495561,SCI_TECH,0,0,FULL_AND_OPEN,1,2785,98078313.79,8035150.49,Q4,SYSTEM_D
2015-02-11,58.522,AG04,SUBB,UEI000000000042,STATE_GOV,116810877.46,DIRECT_PAYMENT,BROADBAND_ACCESS,4033498870,ECON_DEV,0,1,LIMITED,1,2293,83597677.76,353426.0,Q2,SYSTEM_B
2015-02-12,49.552,AG07,SUBF,UEI000000000043,FOR_PROFIT,68494884.38,LOAN,WORKFORCE_TRAINING,8382218122,EDU,0,1,LIMITED,0,1313,26301550.7,2826388.99,Q2,SYSTEM_B
2015-02-13,92.320,AG06,SUBC,UEI000000000044,FOR_PROFIT,98791323.23,GRANT,RESEARCH_INFRASTRUCTURE,8259267250,SCI_TECH,0,1,FORMULA,1,2977,87163711.62,842746.39,Q3,SYSTEM_A
2015-02-14,45.498,AG08,SUBC,UEI000000000045,FOR_PROFIT,246839486.31,GRANT,SMALL_BUSINESS_SUPPORT,8301577060,OTHER,0,1,FULL_AND_OPEN,1,438,153708659.27,14539548.49,Q2,SYSTEM_D
2015-02-15,89.196,AG04,SUBE,UEI000000000046,STATE_GOV,199367421.91,DIRECT_PAYMENT,PUBLIC_SAFETY,2352576749,EDU,0,0,OTHER,0,2030,90056551.26,12132476.95,Q4,SYSTEM_C
2015-02-16,56.463,AG04,SUBC,UEI000000000047,INDIVIDUAL,112239085.75,GRANT,HOUSING_SUPPORT,1871326273,OTHER,0,0,FORMULA,0,2646,107815673.26,10191016.83,Q3,SYSTEM_C
2015-02-17,17.393,AG08,SUBB,UEI000000000048,UNIVERSITY,6831373.49,COOP_AGREEMENT,DISASTER_RELIEF,6861732706,ENERGY,0,0,SOLE_SOURCE,0,264,3367409.23,768722.34,Q4,SYSTEM_B
2015-02-18,16.470,AG04,SUBE,UEI000000000049,LOCAL_GOV,66874284.75,GRANT,SMALL_BUSINESS_SUPPORT,3920519023,HEALTH,0,0,FORMULA,0,2201,41749938.18,4393560.04,Q4,SYSTEM_A
2015-02-19,69.237,AG07,SUBE,UEI000000000050,FOR_PROFIT,172533808.21,GRANT,RESEARCH_INFRASTRUCTURE,7541683137,HEALTH,0,1,LIMITED,0,3645,133283989.75,17119063.67,Q2,SYSTEM_D
2015-02-20,59.111,AG03,SUBC,UEI000000000051,UNIVERSITY,140251131.35,LOAN,TRANSPORT_IMPROVEMENTS,1659004694,ECON_DEV,0,0,FORMULA,0,3515,67660962.53,7630973.66,Q3,SYSTEM_B
2015-02-21,13.454,AG03,SUBD,UEI000000000052,NONPROFIT,186468912.51,COOP_AGREEMENT,BROADBAND_ACCESS,8178328584,HOUSING,1,0,FORMULA,1,1760,152929678.08,16815582.55,Q3,SYSTEM_D
2015-02-22,35.413,AG06,SUBD,UEI000000000053,STATE_GOV,151879455.65,GRANT,PUBLIC_SAFETY,4465269470,ENV,0,0,FORMULA,0,1185,88690466.55,7487870.86,Q4,SYSTEM_A
