imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2018,B1,CAN,INAMD,2550,17502,729,31,109,0,0,2,0,1,1,212D,1,76,UP,2025-12-18
2015,EB3,MMR,INCHN,21000,5267,2420,66,113,0,0,1,0,0,1,212A,0,16,MZ,2025-01-29
2024,IR1,FRA,INDEL,6931,1754,416,473,50,1,0,4,0,1,1,212D,0,39,AR,2025-03-27
2022,B1,JPN,INKOL,3686,4683,1054,440,45,0,0,3,0,0,0,212C,1,67,HR,2025-02-16
2019,IR1,GBR,INHYD,22464,5929,367,72,19,1,1,6,1,1,1,212F,0,22,GA,2025-03-18
2024,DV,MDV,INAMD,273,19820,2606,112,95,1,1,6,1,0,1,212E,1,34,HP,2025-12-09
2016,SIV,PAK,INHYD,6347,12838,3717,102,37,1,0,0,1,0,1,212E,1,74,AP,2025-07-10
2018,L2,USA,INKOL,14945,17084,107,174,60,0,0,0,0,0,0,212A,1,75,CG,2025-01-31
2021,IR1,LKA,INAMD,400,8183,2631,48,103,0,0,6,0,1,0,212F,0,8,HP,2025-11-03
2014,REF,PAK,INMUM,23748,18474,838,110,31,0,0,2,1,0,1,212D,0,78,MH,2025-06-18
2018,F1,USA,INAMD,18362,13378,417,210,25,1,1,5,0,1,0,212A,1,44,UK,2025-02-05
2022,L2,CAN,INMUM,24177,6688,1643,526,57,0,0,5,0,0,0,212E,0,36,HP,2025-09-02
2022,H4,USA,INHYD,24974,13036,820,288,38,0,1,6,0,0,0,212C,1,68,LD,2025-12-17
2019,L2,BTN,INHYD,4782,8021,1421,49,19,1,1,5,0,0,1,212A,0,18,AN,2025-07-07
2016,IR1,BGD,INKOL,1067,9941,3343,116,81,0,0,0,0,1,0,212C,0,74,PB,2025-01-15
2015,IR1,BTN,INMUM,18660,2211,682,216,49,1,0,3,0,1,0,212F,0,72,MN,2025-11-30
2019,H1B,DEU,INHYD,23640,8879,3187,55,78,0,1,5,0,1,0,212F,0,26,LD,2025-08-04
2019,B2,PAK,INMUM,15279,8892,3912,121,51,0,1,1,0,0,1,212B,0,12,AS,2025-06-07
2014,REF,NPL,INHYD,7220,19250,3657,161,85,0,0,6,0,1,0,212D,1,56,TN,2025-06-04
2017,EB3,GBR,INAMD,13353,18867,255,509,114,0,1,5,0,1,1,212C,0,59,HP,2025-08-29
2016,L2,AUS,INDEL,6257,4942,3152,77,21,0,0,3,0,0,0,212D,0,11,CH,2025-10-23
2013,H1B,AUS,INLKO,12366,4412,2827,525,52,1,0,6,0,0,1,212F,0,8,OD,2025-02-14
2019,EB3,USA,INCHN,2469,19587,3199,342,84,0,1,2,1,1,1,212C,0,76,AS,2025-06-24
2023,O1,LKA,INLKO,6290,13561,837,73,65,0,1,2,0,1,1,NONE,0,83,AS,2025-12-12
2025,IR1,MDV,INAMD,1943,19571,2962,499,103,0,0,0,0,0,1,212F,1,76,JK,2025-02-25
2017,E2,BGD,INBLR,13803,19401,2282,219,116,0,0,3,1,1,1,NONE,1,26,AR,2025-02-23
2013,IR1,SGP,INLKO,5372,15035,552,187,42,0,1,1,1,0,0,NONE,1,62,UK,2025-12-07
2023,E1,IND,INDEL,11282,3247,180,254,81,0,1,3,1,0,0,212F,0,28,TN,2025-09-22
2016,J1,MMR,INBLR,24152,2044,156,220,22,0,1,1,0,1,0,212C,0,21,DD,2025-08-27
2012,B2,FRA,INHYD,23312,16733,1477,365,76,1,1,1,0,1,1,212E,1,72,LA,2025-11-17
2023,L1,NPL,INCHN,17559,2506,570,255,63,1,0,3,1,0,1,212E,1,18,NL,2025-04-18
2021,B1,NPL,INCHN,3167,1175,856,522,104,0,0,6,1,1,1,212D,1,37,UK,2025-07-17
2017,E2,NPL,INHYD,4211,10102,1784,94,8,1,0,4,1,0,0,NONE,1,38,KA,2025-08-02
2024,IR1,FRA,INHYD,15573,4497,1727,182,112,0,1,3,0,1,1,212D,0,14,OD,2025-09-03
2023,REF,MMR,INMUM,4092,18589,1047,432,6,1,1,6,0,0,1,212C,1,53,TR,2025-02-07
2020,E1,ARE,INHYD,4483,7106,1496,87,40,0,0,1,1,1,1,212D,0,31,GJ,2025-06-22
2012,E1,FRA,INKOL,14066,2337,1423,144,53,0,1,6,0,1,1,212D,1,45,DN,2025-04-15
2022,E2,JPN,INLKO,2708,3641,2995,439,64,1,1,6,0,0,0,NONE,0,60,AR,2025-02-09
2022,L1,AUS,INHYD,10960,4511,591,476,1,0,1,5,1,1,1,212F,0,51,CG,2025-05-10
2021,SIV,JPN,INKOL,19917,15936,2181,356,3,1,1,2,1,0,1,212E,0,33,MH,2025-06-30
2023,J1,LKA,INHYD,2994,15268,420,132,77,0,1,2,1,1,1,212A,1,72,NL,2025-07-13
2023,H4,IND,INMUM,7260,2531,2260,315,31,0,1,0,0,1,1,212B,0,34,LD,2025-11-27
2025,CR1,JPN,INKOL,24087,9566,2947,236,99,0,0,2,0,1,0,212C,0,69,BR,2025-10-16
2025,IR1,IND,INLKO,8837,15632,2529,466,1,0,0,4,0,1,1,212C,1,36,TS,2025-12-07
2025,K1,AUS,INDEL,2036,7868,347,351,103,1,0,1,0,0,0,212C,1,77,MP,2025-02-28
2014,L1,USA,INKOL,10992,14294,165,316,113,0,0,3,0,0,0,212B,1,60,RJ,2025-12-17
2023,H4,CAN,INAMD,17508,21808,936,26,114,1,1,3,1,1,1,212A,1,48,DL,2025-01-26
2018,IR1,MDV,INMUM,12211,21797,347,483,63,1,0,4,0,0,1,212E,1,8,PB,2025-04-13
2015,CR1,MDV,INBLR,20739,17697,2896,275,13,0,0,2,0,0,0,212D,1,18,CG,2025-01-21
2020,DV,PAK,INLKO,3057,2485,397,9,19,0,0,1,1,1,1,212E,0,27,TS,2025-03-21
2014,O1,IND,INKOL,1019,16324,582,22,88,1,0,2,1,0,1,212C,0,79,LA,2025-11-23
2016,DV,FRA,INAMD,8822,15689,2773,364,105,1,1,6,1,0,0,212D,1,25,CH,2025-07-18
2014,L2,BGD,INAMD,2874,11314,3506,139,48,0,1,0,1,1,0,NONE,1,37,WB,2025-11-18
2018,H4,AUS,INLKO,1261,3195,1600,318,7,1,0,2,0,1,0,212E,0,39,GJ,2025-02-06
2016,IR1,MDV,INLKO,279,7869,3292,488,91,1,0,0,0,1,0,NONE,0,24,LA,2025-01-14
2020,F1,LKA,INAMD,20718,12493,307,311,62,1,1,3,1,1,0,NONE,0,68,CH,2025-08-09
2018,EB3,PAK,INHYD,15824,9445,3038,275,45,0,1,1,0,0,0,212F,1,70,JK,2025-12-30
