qol_infra_inspection_date,qol_infra_asset_type_code,qol_infra_asset_id_hash,qol_infra_condition_rating,qol_infra_work_order_count,qol_infra_mean_time_to_repair_days,qol_infra_preventive_maintenance_pct,qol_infra_pothole_reports_count,qol_infra_street_sweeping_completion_pct,qol_infra_water_main_break_count,qol_infra_sewer_overflow_count,qol_infra_signal_outage_minutes,qol_infra_graffiti_removal_days_avg,qol_infra_snow_plow_cycle_hours,qol_infra_leaf_pickup_completion_pct,qol_infra_permit_backlog_days,qol_infra_capital_project_status_code,qol_infra_service_request_backlog,qol_infra_operational_cost_usd,qol_infra_resident_report_accuracy_score
2020-01-01,ROAD,7169725a3be2480b,2,1198,97.16,11.81,560,36.99,408,15,8573.24,42.47,11.29,12.73,261.65,CONSTRUCTION,14182,3172322.92,0.8228
2020-01-02,SIDEWALK,4e28bf9671a5ed69,4,1132,106.3,10.63,13520,35.08,859,273,32160.8,47.07,35.83,8.41,306.79,PLANNED,29682,31906894.88,0.7032
2020-01-03,STREETLIGHT,490611b265c7f505,4,815,119.73,10.17,1543,63.42,208,750,29677.63,0.31,36.6,45.05,363.3,COMPLETE,24952,2499194.9,0.8731
2020-01-04,STORMWATER,aaee78cf98716835,2,1044,77.47,90.9,1350,46.35,459,390,2882.03,36.64,30.97,5.84,329.11,COMPLETE,27164,47990877.94,0.4996
2020-01-05,SIDEWALK,66bfee8f15499eec,5,874,67.05,35.4,15100,18.06,249,14,41121.14,33.98,58.57,43.82,244.75,PLANNED,13612,35543222.08,0.8651
2020-01-06,STREETLIGHT,06599a3724ec8087,5,1545,83.6,49.92,3855,9.71,1523,567,18649.54,20.81,6.49,15.05,186.94,CONSTRUCTION,28926,15045287.91,0.6806
2020-01-07,SEWER,3f07bd18cec43948,2,654,38.19,0.6,473,69.27,272,564,43021.12,25.73,95.32,78.25,306.2,CONSTRUCTION,15300,37528062.19,0.2966
2020-01-08,SIDEWALK,c39e578358f16fff,3,222,41.75,56.67,2174,48.52,1460,627,19229.85,45.61,24.59,95.6,76.5,COMPLETE,19758,33257266.99,0.9519
2020-01-09,SEWER,97937e889458d00b,2,1815,119.68,13.98,3501,2.14,1939,42,9888.74,15.02,61.34,39.61,250.47,DESIGN,25762,12846817.03,0.3006
2020-01-10,SIDEWALK,2d02d11e44001e7e,3,901,80.07,35.08,16559,93.29,1167,35,36255.72,0.07,61.73,19.22,265.12,ON_HOLD,11601,7400792.07,0.8695
2020-01-11,PARK,b08a6e057a9a3708,4,1333,83.79,50.09,16323,2.83,1769,749,34009.86,13.7,70.69,10.2,338.83,COMPLETE,45713,36073464.93,0.1511
2020-01-12,STORMWATER,d416b3698641f0d7,1,1832,53.15,42.83,14511,17.87,980,394,42280.75,58.07,36.32,81.52,215.66,PLANNED,21796,3072514.31,0.7109
2020-01-13,STORMWATER,56004309f9396d77,5,1894,48.17,44.87,6718,95.48,1683,776,48689.65,16.56,16.25,76.67,149.35,DESIGN,262,41431361.68,0.4441
2020-01-14,STREETLIGHT,1d217836dd8d7f2a,4,1414,58.35,9.52,4548,26.23,318,577,14945.63,53.92,54.46,89.65,351.79,PROCUREMENT,38065,34708726.4,0.9929
2020-01-15,WATER_MAIN,cdccea334d1d5238,3,740,56.41,91.75,14910,9.86,1617,285,20915.48,29.31,70.12,43.42,17.87,CONSTRUCTION,22603,35810004.31,0.4059
2020-01-16,STORMWATER,6eae969bb5a94d49,1,1552,107.12,71.12,16906,42.93,1362,387,2561.55,25.68,43.71,87.13,139.45,CONSTRUCTION,49897,14596953.73,0.016
2020-01-17,WATER_MAIN,3f88d8b8a8d14409,2,693,24.14,34.63,14870,31.56,527,698,49391.99,1.02,51.76,22.04,296.42,CONSTRUCTION,36288,25666496.77,0.0107
2020-01-18,WATER_MAIN,9ea0a7d6c487aa7f,4,236,114.42,26.12,18692,11.01,198,534,41752.12,32.45,56.22,71.67,116.03,PLANNED,21227,21907721.33,0.9819
2020-01-19,STREETLIGHT,eeb4bfb3e369aaaf,5,1607,60.45,7.6,18070,44.2,1029,581,44998.16,10.57,16.06,56.89,13.18,ON_HOLD,20976,29908546.55,0.8708
2020-01-20,SIGNAL,af466f96f66e6b99,4,1744,69.31,41.21,7226,15.63,1176,209,31975.68,48.19,39.83,23.79,163.63,DESIGN,35499,49454312.0,0.5368
2020-01-21,PARK,81884adfa6c1827d,1,1805,107.35,84.0,14616,78.89,954,97,15400.87,30.8,64.14,96.08,121.6,CONSTRUCTION,36297,6721596.81,0.7544
2020-01-22,PARK,ada674c8f4dc6d7d,2,338,56.84,1.97,7687,26.46,1540,144,31863.05,8.52,40.62,84.39,75.27,CONSTRUCTION,25782,6329721.96,0.5191
2020-01-23,WATER_MAIN,4306fdcc5b1947c1,2,1565,41.99,58.61,4890,57.82,984,782,40396.48,42.6,72.88,2.27,7.03,PLANNED,13662,37114862.67,0.7243
2020-01-24,SEWER,5ba5f909820bff48,5,80,36.2,49.79,16961,93.46,1124,480,24141.59,43.84,40.15,76.86,341.87,PLANNED,21517,2991865.71,0.8527
2020-01-25,WATER_MAIN,a033ba8f08202c5e,1,111,116.14,43.44,18110,74.26,372,498,9917.02,46.37,23.25,3.57,22.22,PROCUREMENT,42720,34278505.15,0.8497
2020-01-26,PUBLIC_BUILDING,01b27a7fb0d34ebf,3,1312,29.09,16.61,1376,21.24,1285,622,1921.82,14.93,43.19,19.08,171.62,PROCUREMENT,40313,30209085.33,0.6083
2020-01-27,SEWER,9a0f3ffbc0e695fb,4,812,70.66,1.73,17846,59.88,767,81,3350.48,13.55,83.38,74.96,26.8,PROCUREMENT,6191,38805367.43,0.6971
2020-01-28,ROAD,29e3be753b93ff7a,5,1395,20.71,79.4,9772,10.89,1773,31,17499.39,20.47,34.48,43.17,305.29,DESIGN,35724,15472821.8,0.7168
2020-01-29,SIGNAL,2a6a8dc76efe7f39,5,15,103.97,46.26,2797,19.45,1018,231,6169.65,35.72,51.36,67.95,86.13,PROCUREMENT,14976,48218630.69,0.2548
2020-01-30,SEWER,e1ec5a37a4dbf213,5,1204,103.38,52.73,17941,78.51,311,352,23664.45,3.38,91.68,95.66,362.31,COMPLETE,2681,36005147.2,0.0129
2020-01-31,BRIDGE,6ef871b94dba4d4b,4,607,107.9,18.59,15796,55.31,1043,20,16618.15,37.91,60.83,50.5,270.03,COMPLETE,41721,19141048.68,0.4054
2020-02-01,SEWER,8d7ff6dca42eed03,3,1716,54.74,74.9,1174,95.19,496,695,15041.59,2.32,87.64,99.57,337.4,PLANNED,45725,31663636.16,0.9332
2020-02-02,PARK,ba1f0d3b3487d039,3,1953,21.31,39.62,3433,29.22,1143,737,10332.27,54.02,66.44,20.82,95.26,COMPLETE,34056,43514540.25,0.9473
2020-02-03,SIGNAL,ab5f3518fdfef031,1,1575,31.28,34.48,19675,95.15,1560,671,47471.56,46.09,79.06,14.23,17.6,DESIGN,19331,12269420.23,0.6602
2020-02-04,STORMWATER,3de067f3318b9414,5,1775,72.33,46.36,205,33.86,1718,414,27643.82,32.01,88.53,4.31,25.11,PROCUREMENT,42802,31839113.76,0.5612
2020-02-05,PARK,909465fa1cd0c293,2,937,88.77,56.77,1651,47.82,1947,59,45711.81,58.74,37.84,10.94,349.71,COMPLETE,16002,48425281.26,0.0943
2020-02-06,BRIDGE,5369103c7e31010d,3,30,107.39,29.01,13522,0.85,1297,433,25797.52,24.45,95.12,80.57,359.6,DESIGN,13563,19050214.92,0.8922
2020-02-07,BRIDGE,b2272f34a9d23419,2,1723,96.58,0.7,9112,37.03,1586,5,32297.66,47.5,5.67,55.39,93.26,DESIGN,17390,29735499.03,0.4549
2020-02-08,SEWER,99eb212fae4fda9b,3,1186,108.35,64.55,14796,25.06,571,60,20146.62,13.75,86.29,51.96,71.02,CONSTRUCTION,7335,9029924.87,0.5978
2020-02-09,PUBLIC_BUILDING,b95127354bd66763,5,6,108.14,45.57,98,43.09,1436,90,13276.18,12.85,6.25,45.25,320.39,DESIGN,27733,6772463.77,0.5196
2020-02-10,PUBLIC_BUILDING,3646b05aa8df69aa,3,1050,24.78,77.12,5629,4.24,1660,564,19377.63,16.54,51.45,67.78,317.71,COMPLETE,41524,31319391.08,0.5501
2020-02-11,STORMWATER,905782e84b649a07,5,1944,54.03,19.2,4876,52.26,323,293,14560.01,11.42,64.79,68.23,129.96,CONSTRUCTION,36973,3531681.51,0.1595
2020-02-12,SIGNAL,26246f966bada4a4,3,195,91.72,38.97,15341,25.81,1922,747,11752.78,15.05,88.82,16.54,47.87,DESIGN,25754,4912075.3,0.8723
2020-02-13,STREETLIGHT,54747ad0c92c4135,2,1071,84.42,46.68,5330,94.1,1642,775,40807.92,20.75,33.82,6.51,359.22,PLANNED,41766,21964703.8,0.9297
2020-02-14,BRIDGE,a506f776cfb43428,5,1607,83.09,96.73,4468,15.16,1241,347,6479.22,23.04,65.71,21.63,228.13,DESIGN,39427,47840314.58,0.1832
2020-02-15,SEWER,174f8ba704f4488d,5,249,117.61,8.27,19100,8.77,227,363,1478.92,29.18,75.47,7.58,170.19,CONSTRUCTION,11313,6214480.18,0.8538
2020-02-16,BRIDGE,028118031d8ae483,2,1463,102.2,78.32,19502,31.58,505,219,22361.29,41.45,77.74,11.4,267.89,COMPLETE,23151,29725131.19,0.7252
2020-02-17,SIGNAL,811717bbce2fd514,5,1432,9.79,72.11,1069,34.4,1193,353,24652.19,5.19,73.54,85.56,184.83,PLANNED,38072,4668813.6,0.8798
2020-02-18,SIGNAL,82cbf6082b715b7a,4,262,11.12,91.68,11601,42.35,1610,238,192.83,25.56,84.46,19.6,330.26,CONSTRUCTION,44427,2845764.5,0.725
2020-02-19,PUBLIC_BUILDING,f49fc5c301c51ab2,4,392,35.21,6.38,13849,3.12,497,89,10433.35,50.03,73.05,70.36,3.9,DESIGN,31913,16026114.5,0.4705
2020-02-20,ROAD,66859c7f81b20475,5,721,17.8,92.17,13763,52.8,292,34,45899.62,40.88,24.18,31.81,363.27,COMPLETE,16151,47436785.49,0.9899
2020-02-21,WATER_MAIN,d12a8ceae182b98a,1,1280,82.19,25.09,10001,13.72,1434,692,40402.57,58.77,70.18,52.99,314.92,PROCUREMENT,25034,20460943.74,0.1837
2020-02-22,SIGNAL,28ce902a589fad25,3,702,51.19,71.52,13580,26.55,1355,553,20982.92,16.99,43.42,91.35,294.6,PLANNED,34050,5834269.07,0.7513
